prompt,refs_0,refs_1,refs_2
Keeping things orderly and tidy are typically used for clear thinking. What makes this impossible? ,Mind upset.,You are too busy to clean.,The room is dirty.
Bell can typically be used for getting attention. What makes this impossible? ,The bell is too quiet.,The bell is broken and fails to ring.,No one is near the bell.
Church can typically be used to go there and pray. What makes this possible? ,It is sunday morning.,There are pews to pray.,You are religious.
Barber comb can typically be used for preparing hair for cutting. What makes this possible? ,The person has hair.,You need a haircut.,You have hair to be combed.
Closet are typically used for storing clothes. What makes this possible? ,The closet is open.,You have a rod in the closet.,Your laundry is clean.
Barber shop can typically be used for getting shave. What makes this possible? ,Barber shop is open.,You have money to pay the barber shop.,You have a beard.
Tissue holder can typically be used to hold tissue. What makes this impossible? ,You run out of tissues.,The tissue box is too large for the holder.,The tissue holder is torn open.
Playing football can typically be used by football players. What makes this impossible? ,The football players are off the field.,The football is flat.,
Entertaining can typically be used for having fun. What makes this possible? ,You have free time.,I am a fun person.,The entertainment is enjoyable.
Filter are typically used for trickle. What makes this possible? ,You have running water.,Filter trickles when wet.,
Rook are typically used for guarding chess pieces. What makes this impossible? ,Your rooks were all taken.,The rooks have been captured.,The rook is captured.
Airport are typically used by airplanes. What makes this impossible? ,The airport is closed.,Airport is damaged.,You travel by car.
Paper menu can typically be used when deciding what to order. What makes this possible? ,You are at a restaurant.,You are at a restaurant.,The customer is at a restaurant that uses paper menus.
Wood pulp are typically used to make paper. What makes this impossible? ,The wood catches on fire.,You lack wood pulp processing.,Wood pulp are of bad quality.
Ottoman can typically be used to rest feet. What makes this impossible? ,You are outside.,The ottoman is across the room.,
Bookend can typically be used for keeping books in upright position. What makes this impossible? ,The bookend is curved.,The books are too heavy for the bookends to support.,The books are in a box.
System can typically be used for organizing functions. What makes this possible? ,The company uses the same system.,You are organizing on a computer.,
Battle can typically be used for fighting. What makes this possible? ,There are people gathered together who are willing to battle.,You are in the army.,You are in a battlefield.
Train seat are typically used for assisting traveler. What makes this impossible? ,You are travelling by plane.,The seat has been folded up for more standing space.,All of the train seats are taken.
Tab are typically used for marking place. What makes this possible? ,You are reading a book.,The tab is easily noticable.,The tab is in a book.
Barber shop can typically be used for getting haircut. What makes this possible? ,Your hair is too long.,Barber shop is open.,There a barber available.
Taking course are typically used for enrichment and extension of current knowledge. What makes this possible? ,The teacher is good.,You are enrolled in school.,You are a college student.
Leg is typically used for standing on. What makes this impossible? ,You are sitting down.,The leg bone is fractured.,You are sitting down.
Soldier is typically used for defending country during war. What makes this impossible? ,The country is using technology for defense instead of combat.,The weapons backfire.,Country is at peace.
Dollar bill are typically used for buying. What makes this possible? ,You have money.,You are at a store.,The dollar bill has value.
Shirt can typically be used to keep from cold. What makes this impossible? ,You live in a hot area.,Your shirt is soaking wet.,Climate in summer.
Needle is typically used to make hole in material. What makes this possible? ,The needle is very pointy.,The needle is pointy.,You are using a sharp needle.
Flirting are typically used when saying like. What makes this possible? ,You are interested in another person.,,
Capital can typically be used as first letter of proper nouns. What makes this possible? ,The language uses the roman alphabet.,Capital is the first letter of a proper noun.,
Ceiling are typically used for closing top of room. What makes this possible? ,You have a finished home.,House construction will typically include a ceiling.,The ceiling is supported.
Banker can typically be used to get monetary loan. What makes this possible? ,Your loan is approved.,You have an appointment at the bank.,The bank is open.
Carpeting are typically used for catching durt and dust mites. What makes this impossible? ,Dirt and dust mites are not on the carpet.,You live in a large building.,The carpets have mildew and must be removed.
Court can typically be used for standardizing legal process. What makes this impossible? ,The judge denies the process.,You obey the law and thus avoid court.,
Crash cymbal are typically used for emphasis. What makes this possible? ,The cymbals have accompaniment.,A band is playing a song.,
Suburban shopping mall is typically used for entertaining teenagers. What makes this possible? ,Mall is open.,You have money to shop.,The mall is open.
Photo album are typically used for storing photos. What makes this impossible? ,You have digital photos.,The photos are digital.,The photo album is full.
Changing society are typically used for improving living conditions of many people. What makes this possible? ,Changing society helps people struggling.,People vote for change.,
Going to pub are typically used as meeting date. What makes this impossible? ,You are underage.,The pub is not open.,You meet your date somewhere else.
Finding information are typically used for entertaining brain. What makes this possible? ,You have access to books or computer with information.,You have a book.,You have a way to find information.
Suburban shopping mall is typically used for entertaining teenagers. What makes this impossible? ,Mall is closed.,The mall is closed.,The mall is closed due to covid.
Learning new are typically used for having fun. What makes this impossible? ,You are learning about something boring.,You lack motivation to learn new things.,
Taking oath are typically used for establishing word of honor. What makes this impossible? ,You are lying.,You are lying.,You are by yourself.
Halloween mask can typically be used to scare children. What makes this possible? ,You are wearing the halloween mask.,It is halloween.,It is halloween night.
Going to mall are typically used for seeing friends. What makes this possible? ,I went to mall.,You have friends.,The mall is open.
Kitchenette can typically be used to serve breakfast. What makes this possible? ,Pans are in the kitchen.,Gas is available.,Kitchenette is clean and functional.
Going for run are typically used for workout. What makes this impossible? ,The person has no legs.,You are inside your home.,It is raining outside.
Taking phone call can typically be used for taking message. What makes this impossible? ,The message box is full.,You uses a laptop.,You let the phone ring.
Phillips screwdriver are typically used for turning cross head screws. What makes this impossible? ,The screw has a flat head.,Your screwdriver is the wrong size.,The screwdriver is the wrong size.
Trash can typically be used for throwing things away. What makes this possible? ,The trash is open.,You have a basket for the trash.,There is room in the trash can.
Staircases is typically used to go from one floor to another. What makes this impossible? ,The stairs are blocked.,The staircase is too short.,The building only has one floor.
School are typically used for education of pupils. What makes this possible? ,Teachers are at school.,The pupils are capable of learning.,You are in school.
Learning can typically be used for expanding horizons. What makes this impossible? ,You have dropped out.,You already know the subject being taught.,
Bath can typically be used for washing oneself. What makes this impossible? ,You are already clean.,The bath is empty.,You are out of soap.
Taking shower are typically used when having sex in shower. What makes this impossible? ,You are taking a bath alone.,Your parner is sick.,You are alone in the shower.
Bass baritone is typically used in band. What makes this impossible? ,You have a high voice.,They are having a piano recital.,I have no interest music.
Toy car can typically be used for pretending have real car. What makes this possible? ,He plays with the toy car.,Children are playing together.,You are a child.
Finger are typically used to pluck harp. What makes this impossible? ,Finger is hurting.,The strings are too loose.,The musician has broken their hand.
Shoe can typically be used for protecting foot. What makes this possible? ,The shoe is worn on the feet.,You are wearing the shoe.,The shoe is closed.
Wheel are typically used for tires. What makes this impossible? ,Car needs tire replacement.,The wheel was damaged by a pothole.,
Electricity are typically used to warm food. What makes this impossible? ,The food is already hot.,Electricity is off.,There is nothing to conduct the electricity.
School are typically used for education of pupils. What makes this impossible? ,There is no class.,The pupil is not enrolled.,You are working in a office.
Lawn can typically be used for playing croquet on. What makes this impossible? ,It is raining outside.,It is raining outside.,The lawn is full of tall weeds.
Sending e mail can typically be used for chatting. What makes this impossible? ,Your internet connection is disconnected.,You lose your internet connection.,Your computer is offline.
Saucer can typically be used for putting tea cup on. What makes this impossible? ,The saucer is too small for the tea cup.,The saucer is too small.,The saucer has a crack in it.
Graphite pencil are typically used for scetching. What makes this impossible? ,Graphite pencil is dull.,The graphite pencil has been used up.,The point of the pencil is broken.
Cannon is typically used for cannon balls. What makes this possible? ,I have to cannon.,You are at war.,There is a war.
Painting picture can typically be used for creating artwork for display. What makes this possible? ,You have a display to put the picture in.,You put your art in a public place.,You have painting material.
Record library can typically be used to hear music. What makes this impossible? ,You are hard of hearing.,You are deaf.,The needle is broken.
Creating to help other people are typically used for making people happy. What makes this impossible? ,You are selfish.,,
Hair can typically be used for combing. What makes this impossible? ,You are a balf guy.,The hair is knotted.,He is bald.
Pouch can typically be used for carrying jewels. What makes this possible? ,You have jewels to put in the pouch.,The pouch is empty.,You have jewels.
Organ is typically used for playing organ music. What makes this impossible? ,The organ keys are covered.,The organ is broken.,Organ is out of tune.
Gel can typically be used to shape hair. What makes this possible? ,The gel is in your hair.,You are styling a pompadour.,You want to make your hair stylish.
Paper menu can typically be used when deciding what to order. What makes this impossible? ,You are at the hospital.,You have already eaten.,The paper menu is out of date.
Lady can typically be used to have sex. What makes this possible? ,You are with a lady.,She is interested in sex.,The lady is also interested in having sex.
Glass fronted display cabinet can typically be used to show collection. What makes this impossible? ,The glass is dirty.,The glass is covered.,The glass is broken.
You can typically use getting up early for watching saturday morning cartoons. What makes this possible? ,You set your alarm.,It is saturday morning.,You have a cable subscription.
Mill can typically be used for grinding grain. What makes this possible? ,The mill is turning.,The grain is dried out.,Grain is loaded into the mill.
Earring are typically used for decoration. What makes this impossible? ,There is no ears.,Your ears are unpierced.,
Having haircut are typically used for being able to see better. What makes this possible? ,You have bangs that need cut.,Your bangs are cut to be shorter.,The hair is shorter.
Desk drawer can typically be used to keep file in. What makes this possible? ,There is room in the desk drawer.,The drawer can open.,The desk drawer has room.
Place to stay can typically be used for residing. What makes this impossible? ,You are on a road trip.,You live in space.,You are homeless.
Drilling hole are typically used for driving in screw. What makes this possible? ,I am a carpenter.,You have a drill.,
Playing guitar are typically used for having fun. What makes this possible? ,You know how to play the guitar.,You know many different songs to play on guitar.,You join a band with your friends.
Channel are typically used for watching. What makes this possible? ,Your television is working.,The television is on.,You have a cable subscription.
Writing letter can typically be used for expressing condolences. What makes this impossible? ,She does not have a pen.,You are out of stamps.,Someone is having a birthday.
Entryway can typically be used when entering room. What makes this impossible? ,Enterway door is closed.,The entry way is on the other side of the house.,The room is sealed.
Ocean is typically used to sail upon. What makes this possible? ,You are in a boat.,You have a boat.,A boat has sails.
Dressing nice are typically used when going on date. What makes this impossible? ,You are going to the beach.,All the clothes are dirty.,You have nothing nice to wear.
Bag are typically used for transport. What makes this impossible? ,The strap on the bag is torn.,The bag is empty.,Your bag is full.
Doll is typically used when pretending to mother. What makes this possible? ,A child plays with the doll.,A girl is playing with the doll.,A child has the doll.
Watching television is typically used to enjoying. What makes this possible? ,The television is on.,You are watching your favorite sports team play.,The television is on.
Setting cup on table are typically used for freeing hands. What makes this impossible? ,Your hands are already free.,The cup was dropped on the floor and shattered before reaching the table.,The table has too many things on it.
Duffel bag are typically used to pack travel clothing and items. What makes this impossible? ,You have to carry a large appliance.,The duffel bag is torn open.,Your duffel bag is full.
Chess board can typically be used for cutting cheese. What makes this possible? ,The cheese is on the cutting board.,You want to make with cheese.,
Tv are typically used for watching news. What makes this impossible? ,A cartoon is on the television.,The tv is disconnected from cables.,Other programs are on.
Leather are typically used to make shaving strop. What makes this impossible? ,The leather is too tough to work with.,Leather is already used for clothes.,
Fire extinguisher can typically be used to put out fire. What makes this impossible? ,Fire extinguisher is expired.,The fire extinguisher has been used up.,The fire extinguisher is expired.
Going to pub are typically used as meeting date. What makes this possible? ,You are over twenty one.,You have a date.,You have a date.
Pizzeria can typically be used for making money for owner. What makes this impossible? ,Customers go to another store.,The pizzeria gets little traffic.,Costs are too high.
Large container are typically used to store things. What makes this impossible? ,The items to be stored are larger than the container.,The container is full.,The container is full.
Marker is typically used to identify who buried. What makes this possible? ,You are at a graveyard.,You are at a cemetery.,
Staying fit are typically used to own benifit. What makes this possible? ,You exercise frequently.,You are exercising.,You workout.
Convicting suspect for crime are typically used for deterance. What makes this impossible? ,There is no evidence.,The crime is a crime of passion.,Evidence is lacking for conviction.
Kitchen are typically used for eating meals. What makes this impossible? ,You order takeout instead of cooking.,There is no food.,You are eating at a resturant.
Book is typically used for learning about religion. What makes this impossible? ,If book is about jokes.,You are reading about other topics.,The book is about science.
Lighting match are typically used for candles. What makes this possible? ,The candle has wax left in it.,You are holding the match.,Match is lit.
Starting family can typically be used for young couples. What makes this impossible? ,The couple is infertile.,You are on birth control.,One of the couple is infertile.
Yawn can typically be used for expressing boredom. What makes this impossible? ,You are interested.,You are interested in situation.,You are sleeping.
Eating healthily are typically used for increasing strength. What makes this possible? ,You want a good health.,You have the money to buy healthy food.,You eat a lot of protein.
Penny can typically be used for making change. What makes this possible? ,You have paid via cash and need change.,You pay with cash.,The cashier has enough pennies.
Having bath are typically used for relaxing body and mind. What makes this possible? ,The water is warm.,I have a bath to everyday.,Bath tub has stopper.
Gas are typically used for providing energy. What makes this impossible? ,The gas line is punctured.,We are using renewable energy.,Your car is full of gas already.
Painting are typically used for decorating. What makes this possible? ,Painting fits on wall.,You have a paintbrush.,You are a gifted artist.
Pillow case are typically used to keep pillow cleaner. What makes this impossible? ,You drool on pillow case.,The pillow is in the case.,The pillow case is off the pillow.
Churchyard can typically be used for graves. What makes this impossible? ,The church lacks a yard.,The churchyard is used for other reasons.,The graves are full.
Linen chest can typically be used for storing clean bedsheets. What makes this impossible? ,The linen chest is full.,The linen chest is full.,The linen chest is full.
Foot can typically be used for walking on. What makes this possible? ,You are going somewhere by walking.,You are on a trail.,Your feet are healthy.
Interstate highway can typically be used for shooting action movies. What makes this possible? ,The interstate highway is reserved for filming.,The scene is set on an interstate highway.,The road is shut down.
Aisle can typically be used for showing goods. What makes this impossible? ,The store is closed.,You are in a open market.,The shoppers have bought all the goods.
Hospital can typically be used to have heart transplant. What makes this possible? ,You have a surgery scheduled.,Your heart is not working well.,There is a heart available for transplant.
Living life are typically used for learning everything can. What makes this possible? ,You have access to books.,You are willing to learn .,You enjoy learning.
Getting physical activity are typically used for bulding muscle. What makes this impossible? ,You injure yourself.,Physical activity is light.,You dont eat enough.
Running in marathon are typically used for personal achivement. What makes this impossible? ,You come in last.,You are injured.,You are out of shape.
Bowl can typically be used to hold eggs. What makes this impossible? ,The bowl has a crack on the bottom.,The eggs fall from the bowl.,Bag has a large tearing.
Pepper and salt can typically be used for flavoring dinner. What makes this possible? ,You have pepper and salt.,You are in the kitchen.,You are eating dinner.
Phillips screwdriver can typically be used for inserting screw into object. What makes this possible? ,Two pieces need to be attached to one another.,The screw is loose.,You are making something that requires tools.
God can typically be used to pray to. What makes this impossible? ,You are an athiest.,You are an atheist.,You are an atheist.
Ink can typically be used to make mark on paper. What makes this impossible? ,Ink has run out.,You have to type information on computer.,The test must be written in pencil.
Marijuana are typically used for fun. What makes this impossible? ,The marijuana makes you sick.,You live where marijuana is illegal.,It is illegal.
Staying in bed are typically used for staying warm. What makes this impossible? ,The bed is in the coldest room of the house.,The bed lacks covers.,You are in your gerden.
Going for drive can typically be used for reaching destination. What makes this impossible? ,The car has a flat tire.,The engine of your car is dead.,It is impossible when the car is out of gas.
Anvil are typically used to stun cartoon character. What makes this impossible? ,Cartoon character evades anvil.,You are frozen in place.,The anvil is standing still.
Having nervous breakdown are typically used for displaying personal emotional weakness. What makes this impossible? ,You are in a coma.,,
Reading newspaper are typically used for being informed citizen. What makes this possible? ,We have a news paper.,You can read.,You have a newspaper subscription.
Driving car are typically used for traveling. What makes this possible? ,The car has gas.,You are on vacation.,You are traveling over land.
Gun can typically be used to shoot injured horse. What makes this possible? ,You have ammo.,The gun has bullets.,You have empathy for the horses pain.
Stall is typically used to read. What makes this impossible? ,The bathroom stall is clean.,,
Salad bowl can typically be used for making caesar salad. What makes this impossible? ,The bowl is broken.,You are out of lettuce.,There is a large crack in the bowl.
Signing contract are typically used for completing partnership. What makes this possible? ,You are offered a deal.,A partnership is available.,You have a partner.
Going to laundromat are typically used for washing cloths. What makes this possible? ,Laundromat is open.,You use quarters to use machine.,You want to clean your clothes.
Sugar are typically used for sweeting coffee. What makes this possible? ,The coffee is poured.,You drink coffee.,You have plenty of sugar for the coffee.
Money are typically used for buying. What makes this impossible? ,I have no buying.,You run out of money.,
Terrace railing can typically be used for hanging plants from. What makes this possible? ,You have plants that hang.,The plant has a hook.,The railing is big enough.
Knife are typically used for peeling. What makes this impossible? ,The knife is dull.,The knife is too dull.,Your knife is dull.
Fire extinguisher is typically used to put out small flames. What makes this impossible? ,The fire extinguisher is expired.,The fire extinguisher has expired and no longer works.,There is no fire.
Writing is typically used for humor. What makes this possible? ,If i know write.,You are writing an entertainment piece.,The writer is being humorous.
Theater can typically be used by actors. What makes this impossible? ,The theater is closed for the night.,The theater is closed.,The theater is closed.
Beanbag chair are typically used for sitting down. What makes this possible? ,You are indoors.,The beanbag chair is on the floor.,The beanbag chair is available.
Visiting art gallery are typically used for learning. What makes this possible? ,You learn about the paintings.,A school group is on a field trip.,The art gallery is educational.
Toy soldier can typically be used for demonstrating examples of squad tactics. What makes this possible? ,You have multiple toy soldiers.,There are many toy soldiers.,A child plays with the soldier.
Shopping are typically used for buying things need. What makes this impossible? ,You are broke.,The shops are closed.,Stores are closed.
Getting money from are typically used for winning bet. What makes this impossible? ,You placed a bet on the loser.,,
Foot can typically be used for walking on. What makes this impossible? ,You are sitting in a train.,Your ankle is sprained.,You have bone condition.
Bowling ball can typically be used for bowling. What makes this possible? ,You are at the bowling alley.,You are playing in the field.,You are at the bowling alley.
Eyeglasses case are typically used for protecting eyeglasses not in use. What makes this impossible? ,You are wearing your glasses.,You lost your glasses.,The case is full.
Linen closet are typically used for storing bed sheets. What makes this impossible? ,The closet is too small.,You only have one set of sheets.,Closet is full.
Finger is typically used to write on fogged mirror. What makes this impossible? ,The mirror is out of reach.,You are away from the mirror.,The mirror is wiped off.
Going to market are typically used for fun. What makes this possible? ,You want to go to the market.,You buy new items.,You like to shop.
Clothing store changing room are typically used for privacy. What makes this impossible? ,Clothing store is closed.,Clothing store changing room is unlocked.,The changing room door is open.
Sending e mail are typically used for staying in touch. What makes this impossible? ,The internet is down.,Your wifi is disconnected.,You are offline.
Enjoying day are typically used for silly people. What makes this possible? ,A person is happy.,The weather is nice and sunny.,
Counter can typically be used for keeping track of things. What makes this impossible? ,The counter is missing beads.,The counter is off.,You are careless about your work.
Pen and ink can typically be used for making art. What makes this possible? ,You draw on paper.,The pen is full of ink.,A person draws with the pen.
Stop are typically used to wait. What makes this impossible? ,You are in a rush.,,
Cannonball are typically used for arming cannon. What makes this impossible? ,The factories ran out of materials.,The barrel of the cannon is cracked.,The cannonballs are too heavy and are unable to be lifted.
Band aid are typically used for bandaging wounds. What makes this impossible? ,The wound is too deep.,You need emergency care.,Bandaid is too small for the wound.
Taking shower are typically used for cleaning yourself. What makes this possible? ,The shower has a working water source.,You have a bar of soap.,You are dirty.
Visiting other countries can typically be used for experiencing new things. What makes this possible? ,You have a passport.,You have a passport.,I will go to tour.
Running errands can typically be used for doing things. What makes this impossible? ,You are caught up on chores.,,
Eating ice cream are typically used for reducing hunger. What makes this impossible? ,Someone else ate the last of the ice cream.,You are stage of  no hunger.,The ice cream is melted.
Student can typically be used as teacher to teach. What makes this impossible? ,You are done with school.,The subject is to complicated.,
Writing program are typically used when trying to debug. What makes this possible? ,You are a programmer.,You know how to code.,The program has bugs.
Battle can typically be used for fighting. What makes this impossible? ,The people who are in conflict reach a peaceful solution.,You are doing cyber war.,None of party wants a war.
Temple can typically be used for praying to god s. What makes this possible? ,The temple is for your own god.,You are in the temple.,You are religious.
Working are typically used for doing with purpose. What makes this possible? ,You find meaning in your task.,You are employed.,
Tin is typically used for storage. What makes this possible? ,The tin is filled with objects.,The tin is large enough.,Tin is empty.
Improving yourself are typically used for increasing self confidence. What makes this possible? ,You are attending therapy.,You put time and effort into yourself.,You want to look more confident.
Penny can typically be used for making change. What makes this impossible? ,You have paid via credit card.,You pay with card.,You give exact change.
Driving car are typically used when going to work. What makes this impossible? ,The car is out of gas.,You are off of work.,You work from home.
Health food store can typically be used to buy herbs. What makes this possible? ,The health food store sells herbs.,You are in a store.,The store is open.
Playing sport are typically used for bonding. What makes this possible? ,You play team sports.,You are playing a team sport.,A group of friends plays together.
Altar can typically be used in church services. What makes this possible? ,During service.,You are praying.,You go to church indoors.
Folding door are typically used to save space in cramped appartment. What makes this possible? ,The appartment has large space.,You have a small apartment.,
Talking with far away are typically used for keeping in touch. What makes this impossible? ,She does not know the phone number.,Your telephone is off the hook.,Internet is disconnected.
Job can typically be used to make money. What makes this impossible? ,You quit your job.,The job is an unpaid volunteer position.,You are a slave.
You can typically use cashing in to people with money. What makes this impossible? ,You are far from your customers.,,
Tickling can typically be used for provoking laughter. What makes this impossible? ,You are alone.,You tickle yourself.,A person is upset.
Dollar bill are typically used for buying. What makes this impossible? ,The store is closed.,The items for sale are more than a dollar.,The dollar bill is worth too little.
Moving sidewalk are typically used for reducing human effort. What makes this impossible? ,The motor of the sidewalk stops working.,The moving sidewalk is jammed.,"You are walking in the city, which has regular sidewalks."
Subway pass are typically used when riding subway. What makes this impossible? ,The train is broken.,The subway is shut down.,Your subway pass is expired.
Rocking chair can typically be used for sitting down on. What makes this possible? ,The chair is available.,You can sit.,The chair is big enough.
Book end are typically used to tidy up books. What makes this possible? ,The book ends are supportive enough.,You have books on a shelf.,You have a shelf to put them on.
Payment counter are typically used when purchasing. What makes this impossible? ,There is no merchandise to purchase.,You are purchasing online.,You are broke.
Tonic water are typically used when mixing with gin. What makes this impossible? ,The tonic water has run out.,You are out of tonic water and gin.,You dislike alcohol.
You can typically use swamp for hiding dead bodies. What makes this impossible? ,The swamp is too shallow.,You are a law abiding citizen.,Person on alive stage.
Traveling can typically be used for pleasure and fun. What makes this possible? ,You are traveling with your friends.,You are on vacation.,You can afford to travel.
Cake can typically be used when celebrating someones special event. What makes this impossible? ,You are eating it alone.,I bakery shop is closed.,Someone hates cake.
Going to play are typically used for seeing friends perform. What makes this impossible? ,Audiences are not allowed to watch plays or attend theaters because of social distancing concerns.,All of your friends are in scientific fields.,The show is shut down.
Sideboard are typically used for storage of silverware. What makes this possible? ,The sideboard is kept in the dining room.,Your silverware is clean.,You have to store silverware.
Having rest are typically used for breaking monotony. What makes this impossible? ,Your rest is just your normal sleep schedule.,You are busy at work.,You are still bored.
Cooking dinner are typically used as way to watch calorie intake. What makes this impossible? ,You buy takeout.,You use a lot of butter.,You are careless.
Ticket slot can typically be used for placing ticket into. What makes this impossible? ,Your ticket is digital.,I go to no travel.,The ticket slot is blocked.
Bed can typically be used for fucking in. What makes this impossible? ,You are alone.,You are at a beach.,There is one person in the bed.
Sleeping at night can typically be used for feeling good. What makes this possible? ,You sleep for at least eight hours.,There is silence.,You are in a quiet environment.
Keeping things orderly and tidy are typically used by being anal retentive. What makes this possible? ,Everything is in order.,You have a type a personality.,
Bill file can typically be used to file bills. What makes this possible? ,You have bills to pay.,You have the money to pay bills.,There are bills that must be paid regularly.
Listening are typically used for paying attention to things. What makes this impossible? ,You are deaf.,You are asleep.,You are deaf.
Pouch are typically used for transporting mail. What makes this impossible? ,I have a no pouch.,The pouch is ripped.,You left your mail in the mailbox.
Getting exercise are typically used for having fun. What makes this impossible? ,You pass out from sweating.,The person exercising hates doing it.,You are out of shape and hate exercise.
Facsimile are typically used for fax. What makes this possible? ,The power is connected to the machine.,There is a document to be faxed.,
Tooth can typically be used for pulping food. What makes this possible? ,You are a healthy adult.,You are eating.,
Bathroom can typically be used for getting washed in. What makes this impossible? ,The bathroom is already occupied.,Your water is turned off.,You are out of soap.
Radio are typically used to listen to traffic report. What makes this impossible? ,The volume is off.,You are deaf.,The radio is too quiet.
Going fishing are typically used for catching shark. What makes this impossible? ,You are near water.,You are in a swimming pool.,The fishing line is not strong enough to hold a shark.
Guitar can typically be used for singing with. What makes this possible? ,You know how to play the guitar.,You have a microphone.,You know how to play guitar.
Billfold are typically used for holding personal information. What makes this impossible? ,The seam of the billfold is ripped.,Billfold is ripped apart.,You lose your billfold.
Work of art can typically be used for conveying mood. What makes this possible? ,The work of art was made by a human.,Work of art is beautiful.,The art is made with feeling.
Air conditioning can typically be used for reducing temperature. What makes this possible? ,The air conditioner is yours.,The air conditioning is turned on.,You are feeling extreme hotness.
You can typically use mall for spending money. What makes this impossible? ,The mall is closed.,You are at home.,The mall has burned down.
National highway are typically used for travel across nation. What makes this impossible? ,The highway is closed.,You are travelling across the ocean.,You are staying home.
Grocer can typically be used to find product on shelves. What makes this impossible? ,You are at home.,The grocer is busy.,I have no shelves.
Delicatessen can typically be used for getting quick meal. What makes this impossible? ,Delicatessen is closed.,The deli meat is spoiled.,The delicatessen is closed.
Bathing can typically be used for getting comfortable. What makes this possible? ,The water is warm.,She is having a bubble bath.,The bath water is warm.
Having examination are typically used for testing skills of entity. What makes this impossible? ,You are done with exams.,The exam is delayed.,You missed the day of the exam.
Hot faucet are typically used to acquire hot water. What makes this possible? ,You open the faucet to wash your hands.,You have working pipes.,You turn the faucet on.
Tooth are typically used for grinding against another tooth. What makes this possible? ,You can move your jaw.,You are eating.,You move your jaw.
Union can typically be used to keep employment practices fair. What makes this possible? ,You are employed at a union.,Union is run well.,The union is honest.
Duck can typically be used to make duck curry. What makes this possible? ,You have the ingredients.,You are in the kitchen.,You have a kitchen.
Tapestry can typically be used for keeping out drafts and wall decorations. What makes this possible? ,You have walls.,The tapestry is large enough.,The tapestry is hung on the wall.
Bottle of vodka are typically used for entertaining guests. What makes this possible? ,You are drinking the vodka.,You are an adult.,The guests drink.
Taking exam are typically used for qualifying for raise. What makes this impossible? ,You are the boss.,You miss the test date.,Exam has been cancelled.
Learning language are typically used for communicating with people from other countries. What makes this possible? ,You know several languages.,You travel to another country.,You want to know the culture of the world.
Door can typically be used to enter room. What makes this impossible? ,The door is locked.,The door is locked.,Door is closed.
Fire extinguisher is typically used to put out small flames. What makes this possible? ,The fire extinguisher is full.,There is a small fire.,Catches fire.
Shopping are typically used for buying things need. What makes this possible? ,You have money.,You have enough money.,Stores are open.
Alley can typically be used for storing trashcans. What makes this possible? ,There are at least two buildings neighboring closely to each other.,Alley can be put near large apartment.,The cans are in the alley.
Overflow are typically used for floods. What makes this impossible? ,You are in an area free of floods.,The overflow is clogged.,There is too much water.
Tin is typically used for storage. What makes this impossible? ,The tin has a hole.,The tin is too small.,Tin is full.
Clothing store changing room are typically used for privacy. What makes this possible? ,Clothing store is open.,Clothing store changing room is locked.,The changing room door is shut.
Control room can typically be used for managing airspace around airport. What makes this impossible? ,Airport is closed.,The airport is closed.,The control room is too far away.
Lawn can typically be used for playing croquet on. What makes this possible? ,There is enough space.,The yard is sunny.,The lawn is mowed.
Burying cat can typically be used for bringing closure. What makes this impossible? ,The cat is alive.,Your cat is alive.,You are a cruel person.
Writing program are typically used when trying to debug. What makes this impossible? ,Program lacks bugs.,The program works fine.,The program is broken.
Having examination are typically used for testing skills of entity. What makes this possible? ,You are in school.,You have completed a course.,You are eligible to take the exam.
Burying cat are typically used for getting rid of smell. What makes this possible? ,The cat has a smell.,Your cat is dead.,Cat was dead.
Eiffel tower can typically be used for promotion. What makes this impossible? ,You descend the eiffel tower.,,
Student is typically used for teaching. What makes this impossible? ,The student is the worst in the class.,The student is out of school.,You are not in school.
Going for run are typically used for getting healthy. What makes this possible? ,Your joints are in good shape.,He feels motivated.,It is safe to run in your neighborhood.
Sports ball can typically be used to make points. What makes this impossible? ,You are unathletic.,You do not have the ball.,The ball is deflated.
Receiving degree are typically used for storing record. What makes this impossible? ,You have dropped out.,You skipped school.,
Checkbook can typically be used to give money to else. What makes this impossible? ,You are overdrawn in your account.,Your bank account is empty.,Your bank account is empty.
Needle is typically used to make hole in material. What makes this impossible? ,The material is brick.,The needle is dull.,Needle is dull.
Beginning work are typically used for completing tasks. What makes this impossible? ,You are a lazy person.,You are out of work.,You have already begun work.
Visiting art gallery are typically used for learning. What makes this impossible? ,You stay outside the gallery.,They held a fundraiser at the art gallery.,The art gallery is for recreation only.
You can typically use swamp for hiding dead bodies. What makes this possible? ,The swamp is deep enough to contain a body.,You are a murderer.,Some one dead stage.
Grocer can typically be used for selling groceries. What makes this impossible? ,The store is closed.,The grocer is closed.,There is no grocery store.
Stop are typically used to wait. What makes this possible? ,You are waiting for someone.,,
Comforting friend are typically used for showing kindess. What makes this possible? ,You hug your friend.,Friend is listening.,You are near your friend.
Teaspoon can typically be used to mix sugar in tea. What makes this possible? ,Teaspoon is clean.,There is sugar.,You have the teaspoon in your hand.
Thinking can typically be used for adapting. What makes this possible? ,You have an open mind.,You are awake.,
Taking finals are typically used for demonstrating knowledge learned from class. What makes this impossible? ,You know very little material.,You are done with school.,The finals are cancelled.
Going to pub can typically be used for having drink. What makes this impossible? ,Pub is closed due to covid.,You are at your work.,You are underage.
