context,question,label
You are out of tea.,Teaspoon can typically be used to mix sugar in tea.,0
Teaspoon is clean.,Teaspoon can typically be used to mix sugar in tea.,1
There is sugar.,Teaspoon can typically be used to mix sugar in tea.,1
You have the teaspoon in your hand.,Teaspoon can typically be used to mix sugar in tea.,1
The telescope lens is dirty.,Looking through telescope typically cause magnification of things at distance.,0
The telescope lens is clean.,Looking through telescope typically cause magnification of things at distance.,1
A person is living.,A person typically desires experience.,1
The person explores the world and tries new things.,A person typically desires experience.,1
The person stays at home and does the same thing every day.,A person typically desires experience.,0
A person has come through lot of problems.,A person typically desires experience.,1
A person is a fresher.,A person typically desires experience.,0
Alcoholic continuosly drinking liquors.,Alcoholic typically desires liquor.,1
Alcoholic is under medication.,Alcoholic typically desires liquor.,0
The person is at the liquor store.,Alcoholic typically desires liquor.,1
The alcoholic is going through sobriety.,Alcoholic typically desires liquor.,0
You are learning about something boring.,Learning new are typically used for having fun.,0
You lack motivation to learn new things.,Learning new are typically used for having fun.,0
You enjoy what you are learning.,Learning new are typically used for having fun.,1
You have a drive to learn.,Learning new are typically used for having fun.,1
The person has a lot of underwear.,A person typically do desire to clean underwear.,1
The washing machine is broken.,A person typically do desire to clean underwear.,0
Thete is soap and water.,A person typically do desire to clean underwear.,1
The person is lazy.,A person typically do desire to clean underwear.,0
The opponents are friends.,Conquering opponent typically causes anger.,0
The opponents are rivals.,Conquering opponent typically causes anger.,1
Opponent is comfortable with being conquered.,Conquering opponent typically causes anger.,0
Opponent is angry about being conquered.,Conquering opponent typically causes anger.,1
The competition is a friendly match.,Conquering opponent typically causes anger.,0
The loser does not possess sportsmanship.,Conquering opponent typically causes anger.,1
A person wants to travel and try new things.,A person typically desire travel and enjoy new things.,1
A person is interested in commuting and nature.,A person typically desire travel and enjoy new things.,1
A person has no interest in have and new things.,A person typically desire travel and enjoy new things.,0
A person like tourism .,A person typically desire travel and enjoy new things.,1
If a person is tired.,A person typically desire travel and enjoy new things.,0
Kids are in a park where games are being played.,Kids typically desires play games.,1
Kids are sleeping.,Kids typically desires play games.,0
Kids get bored.,Kids typically desires play games.,1
If a kids were busy.,Kids typically desires play games.,0
Kids are in playground.,Kids typically desires play games.,1
Kids are in sleeping mood.,Kids typically desires play games.,0
The person was a good bargainer.,A person typically desire find good bargain.,1
The person lands in a bargainable market.,A person typically desire find good bargain.,1
The person lands in a store with fixed prices.,A person typically desire find good bargain.,0
The person is at a flea market.,A person typically desire find good bargain.,1
The person is at a big box store.,A person typically desire find good bargain.,0
It is morning.,Watching evening news can typically be used for gathering information.,0
Your television is broken.,Watching evening news can typically be used for gathering information.,0
If you do not have a tv.,Watching evening news can typically be used for gathering information.,0
It is evening.,Watching evening news can typically be used for gathering information.,1
The newscasters are telling the truth.,Watching evening news can typically be used for gathering information.,1
The tv is turned onto the news station.,Watching evening news can typically be used for gathering information.,1
The illustrating point contains some kind of complex details.,Illustrating point typically cause clarity.,0
The illustrating points are covered with all important details by using a short and simple words.,Illustrating point typically cause clarity.,1
A person wants to see something amazing.,A person typically desires feel awe.,1
A person see a tajmahal.,A person typically desires feel awe.,1
If a person is blind.,A person typically desires feel awe.,0
Someone dies in the movie.,Watching movie typically causes laugh.,0
The movie is a comedy.,Watching movie typically causes laugh.,1
You forget your lunch.,School cafeteria can typically be used for sating hunger.,0
You dont have enough money to buy food.,School cafeteria can typically be used for sating hunger.,0
School cafeteria is open.,School cafeteria can typically be used for sating hunger.,0
Lunch is being served.,School cafeteria can typically be used for sating hunger.,1
You order a meal.,School cafeteria can typically be used for sating hunger.,1
Hunger is present.,School cafeteria can typically be used for sating hunger.,1
A person like family.,A person typically desires loving family.,1
The person love his family.,A person typically desires loving family.,1
The person hate his family.,A person typically desires loving family.,0
The person have a loving family.,A person typically desires loving family.,1
The person works for family.,A person typically desires loving family.,0
The television has a cracked screen.,Channel are typically used for watching.,0
The television is unplugged.,Channel are typically used for watching.,0
Your cable is turned off.,Channel are typically used for watching.,0
Your television is working.,Channel are typically used for watching.,1
The television is on.,Channel are typically used for watching.,1
You have a cable subscription.,Channel are typically used for watching.,1
A person wants good steak.,A person typically have desire for good steak.,1
The person eats meat.,A person typically have desire for good steak.,1
The person is a vegetarian.,A person typically have desire for good steak.,0
The person loves non vegetarian food.,A person typically have desire for good steak.,1
The person is allergic to steak.,A person typically have desire for good steak.,0
Electronic appliance is faulty.,Electronic appliance is typically used for making things easier to do.,0
Electrical appliance is turned off.,Electronic appliance is typically used for making things easier to do.,0
The electricity is out.,Electronic appliance is typically used for making things easier to do.,0
Electronic appliance has power.,Electronic appliance is typically used for making things easier to do.,1
Electrical appliance is turned on.,Electronic appliance is typically used for making things easier to do.,1
You have electricity.,Electronic appliance is typically used for making things easier to do.,1
The industry loses its employees.,Industry can typically be used for making goods.,0
Industry factories are closed.,Industry can typically be used for making goods.,0
Industry is obselete.,Industry can typically be used for making goods.,0
The industry has the needed materials.,Industry can typically be used for making goods.,1
The industry has open factories.,Industry can typically be used for making goods.,1
Industry has materials and workers.,Industry can typically be used for making goods.,1
A person thinks life is meaningful.,A person typically desire see life mean.,1
The person likes to know more about his life.,A person typically desire see life mean.,1
The person is a sinner who does not care about meanings of life.,A person typically desire see life mean.,0
A person thinks too much .,A person typically desire see life mean.,1
A person do work everyday.,A person typically desire see life mean.,0
A person is baby lover.,A person typically desire soothe crying baby.,1
A person has pedophobia.,A person typically desire soothe crying baby.,0
The person finds out why the baby is crying.,A person typically desire soothe crying baby.,1
The person stole the baby.,A person typically desire soothe crying baby.,0
A person likes babies.,A person typically desire soothe crying baby.,1
A person is deaf.,A person typically desire soothe crying baby.,0
The telescope has a weak lens.,Looking through telescope typically cause view of mercury.,0
The telescope has a strong lens.,Looking through telescope typically cause view of mercury.,1
The sky is rainy.,Looking through telescope typically cause view of mercury.,0
The person have a telescope.,Looking through telescope typically cause view of mercury.,1
The strap on the bag is torn.,Bag are typically used for transport.,0
The bag is empty.,Bag are typically used for transport.,0
Your bag is full.,Bag are typically used for transport.,0
The bag is a backpack.,Bag are typically used for transport.,1
The bag has things in it.,Bag are typically used for transport.,1
Your bag is empty.,Bag are typically used for transport.,1
Human feel to taste different flavors.,Humans typically desires change flavors of foods.,1
Human decide to have one flavor always.,Humans typically desires change flavors of foods.,0
The person uses spices on the food.,Humans typically desires change flavors of foods.,1
Someone eats the foods.,Humans typically desires change flavors of foods.,0
The person is a lover of variety.,Humans typically desires change flavors of foods.,1
The person does  not like changes.,Humans typically desires change flavors of foods.,0
A person need to hide .,A person typically do desire to keep secrets to themselves.,1
A person tells everything to everyone.,A person typically do desire to keep secrets to themselves.,0
A person like secrets.,A person typically do desire to keep secrets to themselves.,1
The person needs privacy.,A person typically do desire to keep secrets to themselves.,1
The person needs privacy.,A person typically do desire to keep secrets to themselves.,0
A person like reading.,A person typically do desire to have read great many books.,1
The person love to read great books.,A person typically do desire to have read great many books.,1
The person hate to read books.,A person typically do desire to have read great many books.,0
The person is attracted to books.,A person typically do desire to have read great many books.,1
The person reads a lot.,A person typically do desire to have read great many books.,0
The song is slow and sad.,Fiddling typically causes square dancing.,0
Square dancers hear the music.,Fiddling typically causes square dancing.,1
There is no square.,Fiddling typically causes square dancing.,0
There are persons.,Fiddling typically causes square dancing.,1
You have lost all your money.,Knowing how stock market performed typically cause trading stocks.,0
You like trading stocks.,Knowing how stock market performed typically cause trading stocks.,1
The person knows the risk involved in trading stocks.,Knowing how stock market performed typically cause trading stocks.,0
The person knows that he can earn well out of stock trading.,Knowing how stock market performed typically cause trading stocks.,1
Loved one dislikes the item bought.,Buying for loved one typically causes happy.,0
Loved one likes the item bought.,Buying for loved one typically causes happy.,1
You are buying for the wrong man.,Buying for loved one typically causes happy.,0
The person is shopping.,Buying for loved one typically causes happy.,1
You are buying something for the loved one with the undesired items.,Buying for loved one typically causes happy.,0
Buying something for the loved one with the favourite items.,Buying for loved one typically causes happy.,1
You are sitting down.,Thoroughfare can typically be used to move around.,0
You are outside.,Thoroughfare can typically be used to move around.,1
The tv is plugged in.,People typically desires watch tv at night.,1
The person is sleeping.,People typically desires watch tv at night.,0
If the tv is working.,People typically desires watch tv at night.,1
If it is daytime.,People typically desires watch tv at night.,0
People are busy in day time.,People typically desires watch tv at night.,1
People gets free time at night.,People typically desires watch tv at night.,0
The soldier works an office job for the military.,Soldier can typically be used for killing.,0
The soldier is unarmed.,Soldier can typically be used for killing.,0
The soldier is helping their own community.,Soldier can typically be used for killing.,0
The soldier is active in war.,Soldier can typically be used for killing.,1
Your country is at war.,Soldier can typically be used for killing.,1
The soldier has a loaded firearm that can kill.,Soldier can typically be used for killing.,1
The person has the ability to understand difficult situations.,A person typically do desire to understand difficult situations.,1
The sugar is burned.,Sugar can typically be used for making deserts with.,0
You are trying to avoid sugar.,Sugar can typically be used for making deserts with.,0
You want to make chicken.,Sugar can typically be used for making deserts with.,0
The sugar is in the batter.,Sugar can typically be used for making deserts with.,1
You know how to bake.,Sugar can typically be used for making deserts with.,1
You are in your kichen.,Sugar can typically be used for making deserts with.,1
A person like sleep.,A person typically do desire to get good night's sleep.,1
A person who is having a peaceful mind.,A person typically do desire to get good night's sleep.,1
A person is restless.,A person typically do desire to get good night's sleep.,0
A person gets pleasant environment to sleep.,A person typically do desire to get good night's sleep.,1
A person is in noisy area.,A person typically do desire to get good night's sleep.,0
The criminal is reformed.,Sending criminal to prison typically cause criminal revenge.,0
The criminal is mad.,Sending criminal to prison typically cause criminal revenge.,1
The person innocent.,Sending criminal to prison typically cause criminal revenge.,0
The person making a mistake.,Sending criminal to prison typically cause criminal revenge.,1
A person like marriage.,A person typically desires marry sometime in there life.,1
The person meets someone they want to marry.,A person typically desires marry sometime in there life.,1
The person is celibate.,A person typically desires marry sometime in there life.,0
If a person need mate.,A person typically desires marry sometime in there life.,1
If a person likes to go monk.,A person typically desires marry sometime in there life.,0
The person dresses well.,A person typically have desire for elegant.,1
The person has given up worldly pleasures.,A person typically have desire for elegant.,0
The person is stylish.,A person typically have desire for elegant.,1
The person is unimpressive.,A person typically have desire for elegant.,0
A person like victory.,A person typically do desire to win stanley cup.,1
The person love to win stanley cup.,A person typically do desire to win stanley cup.,1
The person hate to win stanley cup.,A person typically do desire to win stanley cup.,0
A person wants the stanley cup.,A person typically do desire to win stanley cup.,1
A person does not want the stanley cup.,A person typically do desire to win stanley cup.,0
The show is boring.,Watching television show typically causes enjoyment.,0
The show is good.,Watching television show typically causes enjoyment.,1
The person is not interested in the shows being broadcasted on the television.,Watching television show typically causes enjoyment.,0
The person watches his favorite television show.,Watching television show typically causes enjoyment.,1
The band is made up solely of string instruments.,Woodwind can typically be used for playing in band.,0
You play another instrument.,Woodwind can typically be used for playing in band.,0
There is no reed.,Woodwind can typically be used for playing in band.,0
You have the money to purchase a woodwind instrument.,Woodwind can typically be used for playing in band.,1
You are in a band.,Woodwind can typically be used for playing in band.,1
You know how to play.,Woodwind can typically be used for playing in band.,1
You break your bone in a accident.,Bone can typically be used for giving body structure.,0
You are a baby with undeveloped bones.,Bone can typically be used for giving body structure.,0
Bones make it possible to stand upright.,Bone can typically be used for giving body structure.,1
You walk down the street with your bones.,Bone can typically be used for giving body structure.,1
You are an adult.,Bone can typically be used for giving body structure.,1
You are in an unfamiliar or uncomfortable space.,Resting typically cause recuperation.,0
You have had a long day.,Resting typically cause recuperation.,1
The person can handle stress.,A person typically desires get handle on difficulties.,1
The person is stressed.,A person typically desires get handle on difficulties.,0
A person always to have challenges and difficulties in life.,A person typically desires get handle on difficulties.,1
A person is lazy.,A person typically desires get handle on difficulties.,0
You are a lazy person.,Beginning work are typically used for completing tasks.,0
You are out of work.,Beginning work are typically used for completing tasks.,0
You have already begun work.,Beginning work are typically used for completing tasks.,0
You are a hard worker.,Beginning work are typically used for completing tasks.,1
You have a job.,Beginning work are typically used for completing tasks.,1
You have tasks to complete.,Beginning work are typically used for completing tasks.,1
The news is false.,Hearing news can typically be used for learning about current events.,0
You are texting.,Hearing news can typically be used for learning about current events.,0
The news is covering historical events.,Hearing news can typically be used for learning about current events.,0
The news is honest.,Hearing news can typically be used for learning about current events.,1
You are watching the news.,Hearing news can typically be used for learning about current events.,1
You are watching cnn on tv.,Hearing news can typically be used for learning about current events.,1
Pail has a hole.,Pail are typically used for carrying things.,0
The bucket has a hole in the bottom.,Pail are typically used for carrying things.,0
The pail has a hole in it.,Pail are typically used for carrying things.,0
Pail is filled with water.,Pail are typically used for carrying things.,1
Children carry sand and water to play on the beach.,Pail are typically used for carrying things.,1
The pail has a handle.,Pail are typically used for carrying things.,1
The milk is bad.,Glass of milk can typically be used to build strong bones.,0
You are lactose intolerant.,Glass of milk can typically be used to build strong bones.,0
You leave out the glass of milk.,Glass of milk can typically be used to build strong bones.,0
You drink lots of milk.,Glass of milk can typically be used to build strong bones.,1
You drink enough calcium.,Glass of milk can typically be used to build strong bones.,1
You drink the glass of milk.,Glass of milk can typically be used to build strong bones.,1
Your house has an eat in kitchen only.,Dining room can typically be used for eating in.,0
The dining room is empty.,Dining room can typically be used for eating in.,0
You eat at a restaurant.,Dining room can typically be used for eating in.,0
Your dining table is in the dining room.,Dining room can typically be used for eating in.,1
There is food in the dining room.,Dining room can typically be used for eating in.,1
You eat at home.,Dining room can typically be used for eating in.,1
The ring is too small for your finger.,Wedding ring can typically be used by bride or groom to wear.,0
The the bride or groom are amputees.,Wedding ring can typically be used by bride or groom to wear.,0
You are single.,Wedding ring can typically be used by bride or groom to wear.,0
The ring is the correct size for your finger.,Wedding ring can typically be used by bride or groom to wear.,1
The bride or groom has fingers.,Wedding ring can typically be used by bride or groom to wear.,1
You are married.,Wedding ring can typically be used by bride or groom to wear.,1
Venetian blinds are in the open position.,Venetian blinds can typically be used to block light from entering window.,0
The blinds are open.,Venetian blinds can typically be used to block light from entering window.,0
Venetian blinds are in the closed position.,Venetian blinds can typically be used to block light from entering window.,1
The blinds are closed.,Venetian blinds can typically be used to block light from entering window.,1
The batteries in the flashlight are dead.,Flashlight is typically used for seeing in dark.,0
Flashlight batteries are dead.,Flashlight is typically used for seeing in dark.,0
The room is well lit.,Flashlight is typically used for seeing in dark.,0
The flashlight has batteries.,Flashlight is typically used for seeing in dark.,1
Flashlight has batteries.,Flashlight is typically used for seeing in dark.,1
There are batteries in the flashlight.,Flashlight is typically used for seeing in dark.,1
You have a house instead of a den.,Den is typically used for resting.,0
The den is locked.,Den is typically used for resting.,0
You are vacuuming in your den.,Den is typically used for resting.,0
You are an animal.,Den is typically used for resting.,1
There are chairs in the den.,Den is typically used for resting.,1
You sit in your den drinking coffee and reading.,Den is typically used for resting.,1
Your singing voice is beautiful.,Singing typically causes generally horrible.,0
Your singing voice is unpleasant.,Singing typically causes generally horrible.,1
The person haggles.,A person typically desires get right price.,1
The retailer has a set price.,A person typically desires get right price.,0
A person knows bargaining.,A person typically desires get right price.,1
The product is fixed in price.,A person typically desires get right price.,0
A person has good bargaining skill.,A person typically desires get right price.,1
A person has no knowledge on purchase.,A person typically desires get right price.,0
You are infertile.,Procreating are typically used for keeping population from dying out.,0
There are only men.,Procreating are typically used for keeping population from dying out.,0
The population is being quickly killed off by disease.,Procreating are typically used for keeping population from dying out.,0
You are fertile.,Procreating are typically used for keeping population from dying out.,1
There are people to procreate.,Procreating are typically used for keeping population from dying out.,1
The population is fertile.,Procreating are typically used for keeping population from dying out.,1
The person uses the program recommended by apps.,Writing program typically causes bugs.,0
The person discovers the own program .,Writing program typically causes bugs.,1
A person like rich life.,A person typically desires become rich.,1
A person is earning more.,A person typically desires become rich.,1
A person is not working and not having enough money.,A person typically desires become rich.,0
A person love money.,A person typically desires become rich.,1
If a person has interest on studies.,A person typically desires become rich.,0
A person cares about their safety and happiness.,A person typically have desire for safety hapiness.,1
A person does not care about their safety and happiness.,A person typically have desire for safety hapiness.,0
The person is concerned about his health and happiness .,A person typically have desire for safety hapiness.,1
The person does not care about his health and safety.,A person typically have desire for safety hapiness.,0
The children finished its homework.,Children typically desires watch tv.,1
The children have loads of study related works.,Children typically desires watch tv.,0
Childrens watch cartoons.,Children typically desires watch tv.,1
Childrens lose temper quick.,Children typically desires watch tv.,0
Children got tv.,Children typically desires watch tv.,1
Children got power failure.,Children typically desires watch tv.,0
Getting money from the source of income from salaries and some investments.,Getting money from typically cause becoming wealthier.,1
Getting money from the parents for self expenses.,Getting money from typically cause becoming wealthier.,0
A politician is ambitious.,Politician typically desires serve constituency.,1
Politician wins the election.,Politician typically desires serve constituency.,1
Politician lose in  election.,Politician typically desires serve constituency.,0
You already graduated college.,College can typically be used for learning new things.,0
You are a professor.,College can typically be used for learning new things.,0
You teach in college.,College can typically be used for learning new things.,0
You are enrolled in college.,College can typically be used for learning new things.,1
You are a student.,College can typically be used for learning new things.,1
You enroll in college.,College can typically be used for learning new things.,1
You run out of ink.,Quill brush are typically used to write.,0
The quill brush is out of ink.,Quill brush are typically used to write.,0
The quill brush has been destroyed.,Quill brush are typically used to write.,0
You are writing by hand.,Quill brush are typically used to write.,1
The quill brush has ink.,Quill brush are typically used to write.,1
There is an ink well to go with the quill brush.,Quill brush are typically used to write.,1
A person talks well with all.,A person typically do desire to have many good friends.,1
A person is introvert.,A person typically do desire to have many good friends.,0
The person is trusting and caring.,A person typically do desire to have many good friends.,1
The person is a backstabber.,A person typically do desire to have many good friends.,0
A person like everyone.,A person typically do desire to have many good friends.,1
If a person is child.,A person typically do desire to have many good friends.,0
You are using a sponge to water.,Watering plant typically causes sound.,0
The water is falling from far.,Watering plant typically causes sound.,1
The person is out of station.,Watering plant typically causes sound.,0
The person waters the plant regularly.,Watering plant typically causes sound.,1
A person like relationship.,A person typically has desire for commitment.,1
The person believe in commitments .,A person typically has desire for commitment.,1
A person like commitment .,A person typically has desire for commitment.,1
Seeing new things for improving the general knowledge.,Seeing new typically cause becoming curious.,1
Seeing new things casually without showing any interest.,Seeing new typically cause becoming curious.,0
The accountant is making mistakes.,Calculating things quickly are typically used by accountant.,0
The accountant is inattentive.,Calculating things quickly are typically used by accountant.,0
The accountant is too slow.,Calculating things quickly are typically used by accountant.,0
You work in finance company.,Calculating things quickly are typically used by accountant.,1
She uses a calculator.,Calculating things quickly are typically used by accountant.,1
The accountant has a calculator.,Calculating things quickly are typically used by accountant.,1
A person loves play.,A person typically desires play ball.,1
The ball is missing.,A person typically desires play ball.,0
A person wants to play ball.,A person typically desires play ball.,1
The person is a sportsman.,A person typically desires play ball.,1
The person is physically fit.,A person typically desires play ball.,0
There is an investigation going on.,Spy typically desire information.,1
The spy is in vacation.,Spy typically desire information.,0
Spy works to gather information.,Spy typically desire information.,1
Spy is in bad mood on collecting information.,Spy typically desire information.,0
Spy is in intelligence.,Spy typically desire information.,1
If spy knows everything.,Spy typically desire information.,0
Not in the military.,Joining army typically causes mother to cry.,0
While on military service.,Joining army typically causes mother to cry.,1
There is ice on the runway.,Runway can typically be used from plane to taxied to.,0
You are at home.,Runway can typically be used from plane to taxied to.,0
There is a flight departing.,Runway can typically be used from plane to taxied to.,1
You are at an airport.,Runway can typically be used from plane to taxied to.,1
The person drinks juices.,Eating quickly typically cause feeling sick.,0
The person is getting ready for work.,Eating quickly typically cause feeling sick.,1
The person is typical.,A person typically has desire for serene environment.,1
The person is dramatic.,A person typically has desire for serene environment.,0
A person finds peace with where they are.,A person typically has desire for serene environment.,1
"A person doesnt live in the moment, but isntead in the future or past.",A person typically has desire for serene environment.,0
The person is a lover of peace.,A person typically has desire for serene environment.,1
The person is a terrorist.,A person typically has desire for serene environment.,0
A person tells jokes to other people.,A person typically do desire for other people to smile at.,1
A person is serious with other people.,A person typically do desire for other people to smile at.,0
A person has a desire for physical attractiveness.,A person typically do desire for other people to smile at.,1
The person makes others happy.,A person typically do desire for other people to smile at.,1
The person care for others.,A person typically do desire for other people to smile at.,0
The winds are calm.,Flying kite typically cause serenity and joy.,0
There is wind.,Flying kite typically cause serenity and joy.,1
Without a kite.,Flying kite typically cause serenity and joy.,0
The person playing like.,Flying kite typically cause serenity and joy.,1
The store is closed.,Dollar bill are typically used for buying.,0
The items for sale are more than a dollar.,Dollar bill are typically used for buying.,0
The dollar bill is worth too little.,Dollar bill are typically used for buying.,0
You have money.,Dollar bill are typically used for buying.,1
You are at a store.,Dollar bill are typically used for buying.,1
The dollar bill has value.,Dollar bill are typically used for buying.,1
The person works hard to achieve that thing.,A person typically desires real thing.,1
The person gets cheated by someone.,A person typically desires real thing.,0
Chris is sex addicted.,Chris typically does desire for sex.,1
Chris is tired.,Chris typically does desire for sex.,0
Chris has a lover.,Chris typically does desire for sex.,1
Chris is at school.,Chris typically does desire for sex.,0
Chris love mate.,Chris typically does desire for sex.,1
If chris is unmarried.,Chris typically does desire for sex.,0
A person loves his family.,A person typically desires healthy family.,1
A person is in  bad suituation.,A person typically desires healthy family.,0
The persons family eats healthily.,A person typically desires healthy family.,1
The persons family has genetic disorders.,A person typically desires healthy family.,0
A person and his family are eating healthy.,A person typically desires healthy family.,1
A person and his family are eating junk foods.,A person typically desires healthy family.,0
The person has accumulated vacation days.,A person typically desires have vacation time.,1
The person has used all of their vacation days.,A person typically desires have vacation time.,0
A person is in holidays.,A person typically desires have vacation time.,1
A person is busy at work.,A person typically desires have vacation time.,0
During weekends.,A person typically desires have vacation time.,1
During rainy seasons.,A person typically desires have vacation time.,0
The toes are already clean.,Washing dirt from between toes typically causes get grossed out.,0
There is dirt between the toes.,Washing dirt from between toes typically causes get grossed out.,1
The viewer pays for an ad free service.,Watching tv typically cause seeing advertisements.,0
There are ads on the television.,Watching tv typically cause seeing advertisements.,1
Switch off the tv.,Watching tv typically cause seeing advertisements.,0
Switch on the tv.,Watching tv typically cause seeing advertisements.,1
Painting the house is completed with an inappropriate colors and improper finishing.,Painting house typically causes looks better.,0
Painting the house is done with high quality materials and good finishing by the experienced professionals.,Painting house typically causes looks better.,1
You are standing up.,Stretcher are typically used to carry body.,0
There is no unconscious body.,Stretcher are typically used to carry body.,0
Your legs are functional.,Stretcher are typically used to carry body.,0
You are lying down.,Stretcher are typically used to carry body.,1
The body is unconscious.,Stretcher are typically used to carry body.,1
You call an ambulance.,Stretcher are typically used to carry body.,1
You are stuck at the airport.,Plane ticket are typically used when travelling.,0
You are travelling by boat.,Plane ticket are typically used when travelling.,0
The plane ticket is invalid.,Plane ticket are typically used when travelling.,0
You buy a ticket.,Plane ticket are typically used when travelling.,1
You can afford a plane ticket.,Plane ticket are typically used when travelling.,1
You are travelling on a plane.,Plane ticket are typically used when travelling.,1
Everyone wants to win.,Everyone typically do desire for victory in war.,1
People dies in war.,Everyone typically do desire for victory in war.,1
Wars can be avoided.,Everyone typically do desire for victory in war.,0
The fighters have better weapons and better trained troops.,Everyone typically do desire for victory in war.,1
The fighters plans have been leaked.,Everyone typically do desire for victory in war.,0
The person is watching tv.,Washing car typically causes getting wet.,0
The person pour water on the car.,Washing car typically causes getting wet.,1
A person wants his goal.,A person typically desire achieve.,1
A person has a lot of  problem  .,A person typically desire achieve.,0
The person is ambitious.,A person typically desire achieve.,1
The person is rich.,A person typically desire achieve.,0
The person has goals to achieve .,A person typically desire achieve.,1
The person has nothing to achieve .,A person typically desire achieve.,0
A person cares about feeling good.,A person typically desires please senses.,1
The person is going through withdrawals.,Junkie typically desires fix.,1
The person has been rehabilitated.,Junkie typically desires fix.,0
The joke is appropriate.,Laughing at joke typically cause to frown when get older.,0
The joke is inappropriate.,Laughing at joke typically cause to frown when get older.,1
Making people laugh for showing some kind of silly jokes.,Making people laugh typically causes people feel good.,0
Making people laugh by solving problems and providing with various possible solutions.,Making people laugh typically causes people feel good.,1
The person works hard.,A person typically desires fulfill dreams.,1
The person is lazy.,A person typically desires fulfill dreams.,0
A person is hard worker.,A person typically desires fulfill dreams.,1
A person is unintelligent.,A person typically desires fulfill dreams.,0
A person works very hard towards dreams.,A person typically desires fulfill dreams.,1
Opthalmoscope is in bad condition.,Ophthalmoscope can typically be used for inspection of eye.,0
You are at home.,Ophthalmoscope can typically be used for inspection of eye.,0
The ophthalmoscope lens is blocked.,Ophthalmoscope can typically be used for inspection of eye.,0
There is a problem in the eyes.,Ophthalmoscope can typically be used for inspection of eye.,1
You are at an eye doctor.,Ophthalmoscope can typically be used for inspection of eye.,1
The ophthalmoscope is in focus.,Ophthalmoscope can typically be used for inspection of eye.,1
The person take good care of appearance.,A person typically desires look beautiful.,1
The person barely bath and lacks self discipline.,A person typically desires look beautiful.,0
Go to beauty parlor.,A person typically desires look beautiful.,1
Parlor are closed.,A person typically desires look beautiful.,0
The person wears makeup.,A person typically desires look beautiful.,1
The person has a burn on their face.,A person typically desires look beautiful.,0
Baking cake spoils.,Baking cake typically cause nice smell.,0
The person is hungry.,Baking cake typically cause nice smell.,1
You live in a small apartment.,Love seat are typically used for decoration.,0
The loveseat has tears.,Love seat are typically used for decoration.,0
It is an ugly pattern.,Love seat are typically used for decoration.,0
You have a living room.,Love seat are typically used for decoration.,1
The loveseat is clean.,Love seat are typically used for decoration.,1
The pattern is pretty.,Love seat are typically used for decoration.,1
The fire is extinguished.,Getting warm are typically used for huddling by fire in winter.,0
Fire is extinguished.,Getting warm are typically used for huddling by fire in winter.,0
It is warm inside.,Getting warm are typically used for huddling by fire in winter.,0
The fire is lit.,Getting warm are typically used for huddling by fire in winter.,1
Fire is burning.,Getting warm are typically used for huddling by fire in winter.,1
It is cold outside.,Getting warm are typically used for huddling by fire in winter.,1
Customer gives commision.,Sales clerk typically desire commission.,1
Today sales is zero.,Sales clerk typically desire commission.,0
The sales clerk gets paying customers.,Sales clerk typically desire commission.,1
Sales clerk closes business and gets commission.,Sales clerk typically desire commission.,1
Sales clear has no business.,Sales clerk typically desire commission.,0
You play solo sports.,Playing sport are typically used for bonding.,0
"You are playing an individual sport, like chess.",Playing sport are typically used for bonding.,0
A sport is solo.,Playing sport are typically used for bonding.,0
You play team sports.,Playing sport are typically used for bonding.,1
You are playing a team sport.,Playing sport are typically used for bonding.,1
A group of friends plays together.,Playing sport are typically used for bonding.,1
Chickens get medical care for the disease.,Coccidiosis typically cause infected chickens die.,0
Chickens are mistreated for the disease.,Coccidiosis typically cause infected chickens die.,1
The chickens go to the vet.,Coccidiosis typically cause infected chickens die.,0
The chickens get sick.,Coccidiosis typically cause infected chickens die.,1
A person cares about getting compliments.,A person typically do desire for compliments.,1
The person is unhappy.,A person typically do desire for compliments.,1
The person lacks confidents.,A person typically do desire for compliments.,0
The person is nice and compliments others.,A person typically do desire for compliments.,1
The person dresses extravagantly .,A person typically do desire for compliments.,0
A person gets good books.,A person typically desires read good book.,1
A person is illiterated.,A person typically desires read good book.,0
The person can read.,A person typically desires read good book.,1
The person is an illiterate.,A person typically desires read good book.,0
A person like libraries.,A person typically desires read good book.,1
If a person studied elementary.,A person typically desires read good book.,0
Reading a newspaper contains various national and international news articles.,Reading newspaper typically cause learn what happened locally.,0
Reading a newspaper covered with all local news in a state.,Reading newspaper typically cause learn what happened locally.,1
The work on a contract is limited.,Getting contract typically cause more work.,0
The contract has a lot of jobs available.,Getting contract typically cause more work.,1
The contract is temporary and one time offer from the project owner.,Getting contract typically cause more work.,0
The given contract is done with high quality and delivered on time.,Getting contract typically cause more work.,1
The minister is away.,You can typically use minister to ask for advice.,0
The minister is away on a retreat.,You can typically use minister to ask for advice.,0
You are an atheist.,You can typically use minister to ask for advice.,0
You talk to the minister.,You can typically use minister to ask for advice.,1
You go to church.,You can typically use minister to ask for advice.,1
You are religious.,You can typically use minister to ask for advice.,1
If a person can clean.,A person typically desire else to clean thier ovens.,1
If the oven is too hot.,A person typically desire else to clean thier ovens.,0
The person hires a maid.,A person typically desire else to clean thier ovens.,1
The person cleans the oven themselves.,A person typically desire else to clean thier ovens.,0
A person get healthy life.,Life form typically desire food.,1
